	cluster p value	cluster size	constituents	S	cluster q value
260	0.007470695257492799	2	DIAPH2,SERPINB6	2	0.3881888189566451
1149	0.007470695257492799	2	HSPB2,FAH	2	0.37381145529158416
1068	0.007629207869482467	10	NMT2,ITGAV,GNG12,SMAD3,FSTL3,DDX39A,SLC12A4,SLC16A4,RPN1,MARS///MIR6758	10	0.368109279702529
1079	0.010311544190107802	36	RPL23A///SNORD42A,TOP2B,TOR1AIP1,VPS72,CLCN6,BTF3,SDC2,ZNF451,VRK2,DPM2,EIF1,ZKSCAN1,SAFB,PHLPP1,MYH10,ATIC,PRKAR2B,EIF3M,ARHGEF7,EIF4B,CEP170///CEP170P1,MAGI2,YTHDC1,RTN1,DST,ADD3,NIPBL,HNRNPA1,SEC31A,RNF44,PRKCSH,CAMLG,FBXO21,CNBP,HDDC2,ABCA3	36	0.48037573106329795
611	0.010560117308102026	6	PDE6D,MLX,UBE3A,PPP3CA,ATP5L,RAP1GDS1	6	0.4755572827748612
1216	0.011178553003914328	11	ATF2,FZR1,FNDC3A,HIST1H4A///HIST1H4B///HIST1H4C///HIST1H4D///HIST1H4E///HIST1H4F///HIST1H4H///HIST1H4I///HIST1H4J///HIST1H4K///HIST1H4L///HIST2H4A///HIST2H4B///HIST4H4,APEX2,RPS11///SNORD35B,OCEL1,PDE3B,PRKAR1A,LANCL1,COPS2	11	0.48716855188026637
1199	0.021122884194107266	3	FOXJ3,NR3C1,ELK4	3	0.8917817670699661
1327	0.022908615531355765	50	NR1D1///THRA,TERF2,ATP10A,ARHGAP33,ESR1,MAPK12,PAX5,PFKFB2,ARFGEF2,RB1CC1,NTRK3,AURKB,BTF3P11,CLDN7,ZFR,MOG,PMS2///PMS2CL,RPUSD2,ZSWIM8,MAP2,PIK3C2A,CYP2D6///LOC101929829,CYP4F12,UHRF2,PKP1,HLA-DOA,MED24///MIR6884,PRELP,SHH,TAF11,BAG6,ATXN10,VHL,RPS6KB1,MGAT5,SLC10A2,DCAF7,PTPN13,CDKN1C,BCL2,PKN2,RAD1,MTG1,ROCK1,PARN,ARPC1A,PTPN3,CD19,SORCS3	49	0.937864835844292
958	0.02592711824209397	8	ABCA8,MARCH2,GLB1///TMPPE,GRN,PCNA,ERVH-1,AHCY,DHX16	8	1.0
1285	0.03024875443738634	22	PFKFB3,SERBP1,UPK1A,KHSRP,AFG3L2,TRIM66,SLC6A7,TERF1,HAUS3,ARHGAP6,PDE8B,SHBG,SAP30,NPRL2,LOC101929336///RIF1,CALM1///CALM2///CALM3,EFNA5,TCOF1,SSPN,ATP8B3,HBBP1	21	1.0
537	0.0398340287390706	4	MGMT,PCSK7,GARS,NQO1	4	1.0
733	0.0398340287390706	4	CASP2,FUBP1,ANK2,TACC2	4	1.0
940	0.0398340287390706	4	CBR3,IDS,ENPP2,CCL18	4	1.0
696	0.0398340287390706	4	MIR636///SRSF2,PTPN12,PDLIM7,EDNRB	4	1.0
429	0.0398340287390706	4	TSTA3,IFI6,BAI1,YWHAH	4	1.0
691	0.0398340287390706	4	IDS,KCNC4,COLQ,WDR62	4	1.0
1245	0.049451847453153695	58	IGHM///LOC100293211,AXL,AXIN1,ITGB2,SCAMP1,LSP1,DUSP2,RGS1,SPRED2,WARS,RASA3,HBE1,EFNA1,CPVL,MAX,IFI30///PIK3R2,LIPA,C1QB,CD52,NMI,MECOM,GSTO1,PTPRB,STT3A,PPP1CA,AIF1,LAPTM5,LSM7,PTGES,PTPRC,ACP5,LYZ,ACTG2,ETS1,SRGN,GPC4,UBE2J1,ELF1,SPP1,ADAM17,CAPG,CTSK,RHOBTB1,MEF2C,ARL4C,CDK4,ATP8A1,STRA13,ARF6,RGS10,ALOX5AP,GPNMB,LGMN,PPL,GNG11,LCP1	56	1.0
1187	0.051257079261233435	66	GLG1,AP2B1,ELOVL2,SMS,PCNA,FUCA1,BCL2L1,CXCR4,ETV5,NAB2,AGFG2,HPCAL1,GZMA,ABL1,FLNA,HN1L,RGS20,LOC102725198///RASA4///RASA4B///RASA4CP,LOC100996792///MAP2K3,ADCY9,SCAP,RIN1,BTN2A1,BAX,PHTF2,GPR4,TMED9,FHL2,TSPYL4,THBS2,SERPINB2,HSP90AA1,PLCD1,RRAD,SNRK,LARP4,GAS7,CBLN1,RGL2,CD44,ZBTB7A,PPP1R12B,VEGFC,PPFIA1,DDT///DDTL,TNC,TNIP1,CBX6,RGS4,DSP,NFKB2,CRABP2,RTN2,MYH9,WDR82,CNR1,MICAL2,RAP2A,VCAN,RAB6A///WTH3DI,HTATSF1,CTSH,UST,NAP1L1,CGA	65	1.0
1077	0.05325882116564028	17	PAPPA,MAP3K4,STAG1,AMACR///C1QTNF3-AMACR,APEX1,DIAPH2,CD1B,JAK2,ZBTB20,PHLPP2,KIFC1,PVR,DDR1///MIR4640,LOC101060181///ZNF44,MAB21L1///MIR548F5,TUBGCP3,PLCL1	17	1.0
959	0.06262912474132512	5	SREBF2,PKD2,SCARB1,HMOX1,NUCB1	5	1.0
774	0.06262912474132512	5	LUM,PDGFRA,MSR1,C19orf10,ABLIM1	5	1.0
1282	0.07569805971109579	19	MAPT,CGB1///LHB,SLC37A4,TRO,STAT4,MMRN1,ERAL1,IL12A,CASK,FAN1,FSTL1,ABCB8,CAPRIN1,NR2F6,Igk,MAGEA8,DPY19L4,YARS2,NCAPH2	19	1.0
1177	0.07862968336681214	12	LMNA,TOPORS,H2AFX,RECK,IFI35,B4GALT4,TBCB,EPB41L3,ANGPTL2,ELF4,DDX5///MIR3064///MIR5047,ABCC1	12	1.0
71	0.08648295392658752	1	AMD1	1	1.0
1083	0.08648295392658752	1	CALD1	1	1.0
206	0.08648295392658752	1	PTPRD	1	1.0
337	0.08648295392658752	1	MYO1D	1	1.0
1061	0.08648295392658752	1	PPWD1	1	1.0
164	0.08648295392658752	1	JAG1	1	1.0
1035	0.08648295392658752	1	HMG20B	1	1.0
325	0.08648295392658752	1	PMVK	1	1.0
147	0.08648295392658752	1	IQCK	1	1.0
86	0.08648295392658752	1	GLUD1	1	1.0
670	0.08648295392658752	1	KCND3	1	1.0
67	0.08648295392658752	1	PRKAR1A	1	1.0
349	0.08648295392658752	1	PMS2P3	1	1.0
143	0.08648295392658752	1	STAT1	1	1.0
686	0.08648295392658752	1	P2RX5-TAX1BP3///TAX1BP3	1	1.0
952	0.08648295392658752	1	PSMB8	1	1.0
861	0.08648295392658752	1	OLIG2	1	1.0
305	0.08648295392658752	1	PUM2	1	1.0
1195	0.08648295392658752	1	PSMC1	1	1.0
295	0.08648295392658752	1	COL16A1	1	1.0
169	0.08648295392658752	1	ENOSF1	1	1.0
758	0.08648295392658752	1	CYP1B1	1	1.0
12	0.08648295392658752	1	RABEPK	1	1.0
526	0.08648295392658752	1	CHST2	1	1.0
159	0.08648295392658752	1	UBE2I	1	1.0
25	0.08648295392658752	1	MAP3K5	1	1.0
725	0.08648295392658752	1	GBAS	1	1.0
31	0.08648295392658752	1	NR2C1	1	1.0
702	0.08648295392658752	1	FGL2	1	1.0
36	0.08648295392658752	1	FNTA	1	1.0
721	0.08648295392658752	1	PARVA	1	1.0
231	0.08648295392658752	1	PPIE	1	1.0
542	0.08648295392658752	1	S100A4	1	1.0
219	0.08648295392658752	1	KLF7	1	1.0
120	0.08648295392658752	1	MLLT1	1	1.0
581	0.08648295392658752	1	ICAM2	1	1.0
576	0.08648295392658752	1	LAMP2	1	1.0
1203	0.08648295392658752	1	MAX	1	1.0
1162	0.08648295392658752	1	ICAM2	1	1.0
832	0.08648295392658752	1	PHF1	1	1.0
136	0.08648295392658752	1	SEC24D	1	1.0
835	0.08648295392658752	1	ZHX3	1	1.0
886	0.08866362845793672	6	PCBP3,ATXN7L3B,SERBP1,NKTR,CHGA,MORC3	6	1.0
1115	0.11226831450438106	30	PAPSS1,CCR2,30,RASL10A,DAP,KIAA0195///MIR6785,ABAT,STOML2,TNKS,CACNA1E,R3HDM2,NUP214,H1F0,POLDIP3,PSMD8,IPO9,DENND4B,WDTC1,LINC00588,PCNT,RXRA,ZBTB16,COL4A5,NOS1AP,POM121L2,ARAF,POLE,RORB,SORL1,GULP1	30	1.0
988	0.11720822721408114	7	KCND3,ENPP1,DUSP3,CTBP1,ITPK1,SYDE1,PARG	7	1.0
1295	0.13024136653753363	68	ESR1,MFNG,FUT5,KLHL20,HLTF,GPR20,DIO3,SSX5,BTF3P12///BTF3P12,MARK2,SCAI,C4A///C4B///C4B_2,LCK,METTL18,GLUD1,HMGCL,ROS1,SRF,HAAO,GPR161,ZNF200,CSPG5,PPARA,KIFAP3,DLGAP2,PSMC4,CTH,EPHA5,STXBP2,FOXK2,SYNE2,FAM161A,SLCO2A1,LITAF,GBE1,NFATC3,KIAA1024,TOP3A,ARHGAP8///PRR5-ARHGAP8,INPP5A,ATXN1,WDFY3,UTP20,C2orf27A,CHN2,ST20,KISS1,CREB1,PRRC1,MAGEB1,C3AR1,GNB3,CRYAA///LOC102724652,FAM189B,N4BP2L1,PLCH2,SON,EML2,DLST,SGCB,SULF1,SPOCK3,ZBTB6,IDS,ITGB3BP,TEX261,ZBTB25,SLC1A7	68	1.0
1256	0.13441926130768042	16	IGF1,USO1,PTPN4,ACADSB,AK6///TAF9,EPHB6,POLR3F,AGGF1,GFPT1,SERINC5,TRPC4AP,IRS1,RABGGTB///SNORD45A///SNORD45B///SNORD45C,PDHA1,FAM69A	15	1.0
1261	0.13441926130768042	15	KCNAB2,AIRE,THUMPD1,CTSG,TAT,CPSF4,TUBB,HOXA5,RPA2,SRRD,CCNB1,SCGB2A1,PIGL,ADRM1,UBN1	15	1.0
1192	0.13811365217462157	33	TGOLN2,AQP3,YARS,COL4A3,ARF3,HP,LCN1,GGT1///GGT2///GGTLC1///GGTLC2,SLC1A1,ATRN,CDC20,PTPRD,CTAG1A///CTAG1B///CTAG2,VWA5A,TXLNA,HES2,CHI3L2,CREB5///LOC401317,LBP,SAT1,BTN3A2,CDH6,SERPINA3,CHD3,TRAF3IP2,E2F3,ELAVL2,BPI///LOC149684,APOBEC3C,ATXN7L3B,RET,WWC1	32	1.0
1166	0.14763526353807688	9	STK38,LIMK2,NPM3,MX1,NRP1,VAT1,TBC1D8,ACTB///ACTG1	8	1.0
804	0.14763526353807688	8	EMX1,NEFM,ATAD2B,ADRB3,NME3,MYO6,RNPS1,ADD1	8	1.0
855	0.1654952125956822	2	IDS,SH2D1A	2	1.0
387	0.1654952125956822	2	TPM2,ADORA2B	2	1.0
848	0.1654952125956822	2	TUBA1A,CCND3	2	1.0
869	0.1654952125956822	2	HOXC6,ZBTB39	2	1.0
396	0.1654952125956822	2	IRF5,CD44	2	1.0
418	0.1654952125956822	2	FZD2,PTGDS	2	1.0
927	0.1654952125956822	2	CSNK1D,ZMYM3	2	1.0
1125	0.1654952125956822	2	IFI35,ARRB2	2	1.0
1217	0.1654952125956822	2	COL1A1,4///TTYH2///Z49982	2	1.0
484	0.1654952125956822	2	PEX13,KCNJ2	2	1.0
466	0.1654952125956822	2	PLP2,IL10RA	2	1.0
218	0.1654952125956822	2	NPR1,ENPP1	2	1.0
538	0.1654952125956822	2	TNFRSF1A,SEPT8	2	1.0
226	0.1654952125956822	2	EFNB2,5	2	1.0
246	0.1654952125956822	2	ATF7,GDF15	2	1.0
427	0.1654952125956822	2	PROS1,CTSO	2	1.0
289	0.1654952125956822	2	RNASE1,NXT2	2	1.0
744	0.1654952125956822	2	DUSP7,COL14A1	2	1.0
1132	0.1654952125956822	2	PTPRG,TIAL1	2	1.0
748	0.1654952125956822	2	TUSC3,MSR1	2	1.0
348	0.1654952125956822	2	PLS3,CYBA	2	1.0
375	0.1654952125956822	2	CDR2///LOC101060399,IQGAP1	2	1.0
193	0.1654952125956822	2	SERPINH1,CCNB2	2	1.0
596	0.1654952125956822	2	DNAJC11,MAG	2	1.0
1296	0.17055425147465283	54	TULP2,DDOST,SLC16A1,KDM4A,DDX49,ZNF592,EPOR,ZNF646,HSD3B1,SLC12A5,MNAT1,NTRK3,C21orf2,SRGAP3,CDR2L,KAT2A,USP22,UBR5,PPP2R3A,SULT2A1,SLC24A5,PDCD2,LRPPRC,IGHM,BAX,ARID4B///RBM34,PDE6A,SSTR3,EPB41L2,RUNX2,RNF4,GNAO1,CCL7,PRSS3P3,SMARCE1,LINC00599///MIR124-1,AR,NR4A1,BCL7A,PPIL2,GRIA1,ERBB3,MUC5AC,MAML3,TAP2,IL5RA,RARG,KHNYN,IDS,MRPS31,ADAM22,NCOA1,BECN1	53	1.0
1058	0.1772564755201803	17	ESR1,RBCK1,CIAPIN1,RGS3,CXCL9,CUL9,CARS,PAK1,BMP1,GH2,PMM1,PCDH1,BPHL,C6orf47,AJ004954///IGHV1-2///IGHV1-2///IGHV1OR15-1///IGHV1OR15-1,TMEM106C,PEX5	17	1.0
1074	0.17940664120625313	9	TERF2IP,STAMBP,BCKDHB,FAM13A,LUC7L3,DNASE1L1,EIF3K,FAM178A,AP2S1	9	1.0
1276	0.17940664120625313	9	KLHL35,FEM1B,LITAF,MTOR,CTCF,HDAC5,MCF2,ATP9A,LOC101930075///PKD1	9	1.0
1313	0.19991540960814555	18	RAE1,HOXC6,ATM,KCNQ2,SF3B3,INTS10,ESRRA,HIST1H2BD,ZNF91,NREP,GUCY1A2,TMEM63A,ABCC6///LOC101930322,EGFR,MNAT1,CLTA,LOC150776///SMPD4,DGUOK	18	1.0
1215	0.2232061627138424	19	RIPK1,DIEXF,DCTN5,ELAC2,AASS,RBBP5,GRIA1,PMP2,RBPMS,LOC441155///ZC3H11A,TCEA2,SPTBN1,AMOT,CEBPG,MAOB,IL11RA,CARD10,MID2,KIAA0907	19	1.0
1250	0.2232061627138424	19	BTF3P13///BTF3P13,ASS1,ATXN2,PPP1R1A,C1D,MARCH6,RTCB,SNAPC4,POLRMT,RPL15,ATF2,CUL1,MRPS18B,VDAC2,GDI2,RPS6KB1,TFCP2,CTR9,GGCT	19	1.0
683	0.23768137679646975	3	TPM1,ANPEP,CALM1///CALM2///CALM3	3	1.0
687	0.23768137679646975	3	ITSN2,ZNF160,SPAG9	3	1.0
475	0.23768137679646975	3	CREM,MYH11,LRRC32	3	1.0
779	0.23768137679646975	3	PACS2,ETFB,CAV2	3	1.0
1181	0.23768137679646975	3	MIOS,TFDP2,TNNI3	3	1.0
294	0.23768137679646975	3	GATA2,PPIP5K2,CT62	3	1.0
749	0.23768137679646975	3	BID,RPS6KA2,PIGA	3	1.0
351	0.23768137679646975	3	NAALAD2,RNASE6,TCEB3	3	1.0
966	0.23768137679646975	3	SEPT9,CRIP1,VSIG4	3	1.0
942	0.23768137679646975	3	PTPN13,ADRA1A,SLC1A4	3	1.0
1159	0.23768137679646975	3	RIN2,CENPC,LINC00597	3	1.0
883	0.23768137679646975	3	RRAS2,HIST1H2AD///HIST1H3D,CTBP2	3	1.0
862	0.23768137679646975	3	COL3A1,CACNA2D1,RHEB	3	1.0
934	0.23768137679646975	3	GRIK2,IL18,CARD8	3	1.0
830	0.23768137679646975	3	NOS2,CA6,SERBP1	3	1.0
1015	0.24521443263092985	11	APLP2,USP6NL///USP6NL-IT1,C15orf39,ITGB1,PLCE1,ICK,GNG7,LOC101930150///NF1,EDRF1,CD302///LY75///LY75-CD302,LSM6	11	1.0
1065	0.24521443263092985	11	TNK1,TGOLN2,PLD2,LOC102724788,BRINP3,TAOK3,ABCF1,PDZK1IP1,BAIAP2,SLC17A4,FBXO7	11	1.0
1277	0.24698963530978202	20	APC,IQSEC3,CELSR3,MYB,FLAD1,EFNA3,CLASRP,ERICH1,SERPINA2,UBE3A,FGF2,TFAP2A,BSG,SOCS6,FAM179B,CCR5,ZNF41,DGCR14///TSSK2,ABCB11,ZBTB43	20	1.0
1239	0.24698963530978202	21	AK055981,PTPN14,COX8A,CALB2,WIPF1,CCS,MDH2,MEIS2,TUBB,LOC102724250///NBPF1///NBPF10///NBPF11///NBPF12///NBPF14///NBPF15///NBPF19///NBPF20///NBPF25P///NBPF26///NBPF8///NBPF9,PYGM,LINC01278,PDE3B,IVD,IDH3B,MIR4691///MIR7113///NDUFS8,CKB,IDH2,CSNK2B,ENDOU	20	1.0
1023	0.27853138248375336	12	RAD51C,MXI1,RHD,MPST,LDB1,PIGH,PLAUR,AZIN1,FTL,CEBPZ,AATF,HR	12	1.0
965	0.27853138248375336	12	MAPT,FPR2,ARID4A,USP7,B4GALT3,TBX5,RAB11FIP2,IL2RB,LAPTM4A,MGLL,H1FX,AHSA2	12	1.0
1026	0.29551540183982566	22	DNAJC2,TNFAIP1,CFI,SIPA1L1,NCOR2,MYH11,MAX,CMAHP,SERPINH1,SLC39A8,CMKLR1,PLEC,PTGER4,RAMP3,C7,TPBG,PTDSS1,JUND,RABAC1,SFXN3,HYAL2,COMP	22	1.0
816	0.30363049281560267	4	CCL20,LPAR1,HOMER3,CD53	4	1.0
586	0.30363049281560267	4	FXR2,TNFRSF4,UBE2I,PPBPP2	4	1.0
412	0.30363049281560267	4	ACTA2,RAD52,JUP,KIR3DL1///KIR3DL2	4	1.0
858	0.30363049281560267	4	ELK1,ERP44,IL1RN,ELL2	4	1.0
569	0.30363049281560267	4	CREM,FGF3,ZBTB1,MINPP1	4	1.0
1242	0.30363049281560267	4	WT1-AS,MUC8,PLK3,RRBP1	4	1.0
1255	0.30363049281560267	4	NECAP1,IRS1,DDIT3,CNP	4	1.0
1269	0.30363049281560267	4	CREB3L1,IZUMO4,DCK,ATPAF2	4	1.0
211	0.30363049281560267	4	HSP90AB1,COPS2,EDN2,PTPN20B	4	1.0
488	0.30363049281560267	4	SMC2,TSPAN4,PDE5A,CDKN1B	4	1.0
1348	0.30363049281560267	4	STOML1,CCNF,NFKBIE,Fas	4	1.0
1326	0.31173767113429734	13	SLC35D1,PTPN2,MAPK12,CDKN1C,PIAS4,ULK1,FAM131A,LSS,KMO,HSD17B8,TGFB3,SNRPN///SNURF,PPIE	13	1.0
1267	0.34460349391080675	14	SLC6A8,UBE4B,5,TECPR2,ABCB7,RNF103,ITGB6///LOC100505984,DOCK10,SNED1,CLUAP1,GOSR1,TUSC2,FLT3,AQP8	14	1.0
322	0.36388083483417216	5	NFRKB,RBCK1,SMG6,TREH,CDK18	5	1.0
675	0.36388083483417216	5	RRAS2,SPEN,TUBB2B,CAPN15,NFATC2IP	5	1.0
649	0.36388083483417216	5	ITGAV,ABR,SMAD3,CLOCK,KCTD20	5	1.0
1278	0.36388083483417216	5	CCKBR,LZTS3,IHH,ATRX,NPEPPS	5	1.0
1038	0.36388083483417216	5	PPIP5K1,DDAH2,MLXIP,ID4,MUC1	5	1.0
494	0.36388083483417216	5	SALL2,AMELX,CDC34,FHL1,EPHA1	5	1.0
1016	0.36388083483417216	5	P2RX5,ARHGAP33,HYAL1,ASMT,TGFB1	5	1.0
1001	0.36388083483417216	5	SLC13A3,MYCBP2,TMEM109,TRIM26,MAP1B	5	1.0
979	0.36388083483417216	5	ACTL6A,SF3A1,EGFR,CNP,KRT32	5	1.0
741	0.36388083483417216	5	STX7,SLC4A4,MYH2,ITGA9,CIB2	5	1.0
871	0.36388083483417216	5	KIF2C,DTNA,APOC3,LAT,PTGDS	5	1.0
1254	0.40859167157868376	16	PPP2R3A,TRAF1,PDCL,BCL2,HIST1H4A///HIST1H4B///HIST1H4C///HIST1H4D///HIST1H4E///HIST1H4F///HIST1H4H///HIST1H4I///HIST1H4J///HIST1H4K///HIST1H4L///HIST2H4A///HIST2H4B///HIST4H4,WBSCR22,NBR1,SLC15A2,BRD4,RAB11A,TRAFD1,PCMT1,ZNF821,ATF6,ANKRD40,CREBZF	16	1.0
1246	0.40859167157868376	16	SERPINH1,PTPRG,SLC4A3,ATP6V0D1,TLE2,PPP2R2A,TUBB3,DDX3X,MYCBP,RAB29,ACTN1,DESI2,KCNB1,NID2,SEMA3C,BSCL2///HNRNPUL2-BSCL2	16	1.0
824	0.41892427610941924	6	RB1,HOXC6,BMP10,DAP3,KLRC4///KLRC4-KLRK1///KLRK1,IKBKE	6	1.0
1271	0.41892427610941924	6	CNOT4,UBE2A,EPHX2,PRKD3,TPD52L1,ASH2L	6	1.0
775	0.41892427610941924	6	STAT1,MAST4,RECK,KIAA0040,DLGAP5,PSMD12	6	1.0
1131	0.41892427610941924	6	PHIP,CDH13,OASL,FAM208A,AQP1,NUBP1	6	1.0
990	0.43943636438648453	17	PRUNE2,ESPL1,SLC25A4,NPFF,CXorf40A///CXorf40B,HERC4,RUVBL2,TTI1,AIF1,KCNK3,PRDM2,AGRP,MAP3K3,CDKN1B,DRD3,NOVA1,USP6	17	1.0
910	0.46921028425864214	7	INTS1,CCDC144B///USP32///USP32P1///USP32P2///USP6,DRAP1,FXR1,SMARCA2,SMARCB1,WRB	7	1.0
690	0.46921028425864214	7	URM1,TAF1,PTPRS,3,SKP2,ARAF,OGG1	7	1.0
1243	0.46921028425864214	7	CNTN6,RAB27A,ACTN3,CBS,CDC6,HEG1,CACNB1	7	1.0
1238	0.46921028425864214	7	MAPT,MCM3AP,C2CD3,LRRC15,RUNX1T1,CDK5R1,CACNA1S	7	1.0
1034	0.46921028425864214	7	FKBP4,SLC17A7,EPAS1,PRDM2,ADAM19,CDH19,INPP1	7	1.0
1207	0.46921028425864214	7	OBSL1,ZMYM4,SLC28A2,THRA,TUBGCP4,WDR13,GK///GK2///GK3P	7	1.0
1123	0.46921028425864214	7	KIAA0125,ADORA2A///SPECC1L-ADORA2A,CCR6,E2F4,ZC3HAV1,PTOV1,KLK6	7	1.0
1018	0.46921028425864214	7	CA11,BCL2,SLC6A5,RBM4B,SZT2,TCTA,CLC	7	1.0
812	0.46921028425864214	7	SOX12,CCT6B,CGRRF1,TNFRSF25,AKAP12,RBPMS,PGAP1	7	1.0
1010	0.46921028425864214	7	DNAJA1,GADD45B,HSPA1B,RALB,THEMIS2,ARHGEF15,CYR61	7	1.0
1223	0.46921028425864214	7	DYRK2,TFAP4,ARMCX2,SF3A2,STK24,SSR2,METAP1	7	1.0
1169	0.46937648373377694	20	GADD45B,ID3,MDK,IGFBP7,FZD6,REL,MYC,ID1,JOSD1,GCH1,LAPTM4B,IL4R,PNP,MTMR11,HLA-DMA,WEE1,XAF1,CNP	18	1.0
1350	0.4950082520879306	111	DSG2,SF3A2,BOLA2///LOC101060386///SMG1,PLXDC2,RAF1,PATZ1,NOTCH2,SMYD5,CD58,TNNT2,GAS8,H6PD,SLC10A3,RXRA,VASH1,NFYB,XCL2,MAP7,CYP2J2,C16orf45,XK,ARIH1,DHX57,ARPC4,SCAF8,SSTR2,TCEB3,INTS9,ATP1B2,ATXN7L1,POLR2D,SRSF8,DPF2,CENPC,YAF2,CNGA1,EXOC3,KIF25-AS1,COL9A2,ARNT,PPEF1,PRPSAP2,AHSG,KIAA0513,SIKE1,SF3A3,MAN2A2,CCP110,KLHL18,LTB4R,SGPL1,NR1H2,MXI1,RBBP7,ADA,MMP1,GNG4,MAP4K2,GAGE1///GAGE13///GAGE2A///GAGE2B///GAGE2C///GAGE2D///GAGE2E///GAGE8,CCDC93,EIF4H,SCN4A,GP9,NAT8///NAT8B,FKBP6,SERPING1,RPP38,RAMP1,MCM3,EIF2S1,WAPAL,ARHGEF1///LOC100505585,TRIM23,ESR2,RB1,GOLGB1,SCN5A,MBD2,SRPK3,PPP1R3C,EXPH5,SLC15A1,PRKCA,DUSP4,KDM3A,CXCR5,EIF2B1,MAN2B2,KIAA1549L,CHKA,CYHR1,EIF4EBP1,LY9,RIN1,PLK4,GUCY2C,TNPO3,MARCH6,USP32///USP6,Il4,JAKMIP1,ZNF174,RALA,SEC24C,MLLT4-AS1,RBM5,STARD13,PTPN7,PTPRJ,AVPR1B,FGF18	111	1.0
1106	0.4983376979714164	19	SERBP1,LOC100506558///MATN2,ATP6V1H,USP1,SNTB2,DYRK4,SYPL1,PPP3CB,AFF1,UTP18,ZNF24,PAPD7,HNRNPD,SLC35E2///SLC35E2B,TOB2,OPTN,NDUFA5,XPA,SOS2	19	1.0
1270	0.5151495729330087	8	CEP290,ESR1,NUDT21,HESX1,SUPT5H,CDK11A///CDK11B,DNAJB6///TMEM135,CERS1///GDF1	8	1.0
997	0.5151495729330087	8	WAS,LARGE,CHL1,LOC101060363///PPIA,CCT6A,HDAC1,VEZF1,PPIE	8	1.0
560	0.5151495729330087	8	STK38,PSMD9,TRAM1,HIST1H2BC///HIST1H2BE///HIST1H2BF///HIST1H2BG///HIST1H2BI,TFDP1,GRB2,CSN1S1,RABIF	8	1.0
894	0.5151495729330087	8	INPP4A,KCNJ10,NIPSNAP1,SNTB1,ZBTB18,BHMT,BDNF,KLK3	8	1.0
981	0.5151495729330087	8	CDV3,TMED7///TMED7-TICAM2,ZNF391,TOM1L2,RER1,TGM2,LSS,KLK3	8	1.0
1056	0.553121185286462	21	AVP,WSB1,GPR182,MED6,CRHBP,NOS3,ZKSCAN1,RPL3L,DHX34,PMS2P3,COPG2IT1,MIR6883///PER1,DNASE1L1,PRPH2,TBC1D2B,OPRD1,CDH8,DMBT1,IRX5,FRK,SEMA7A	21	1.0
1155	0.557117439398853	9	GOSR2,RGS7,SLA,CSF2RB,UBE2M,RASSF7,GSTM1///GSTM2///GSTM4,PDIA2,BTC	9	1.0
1086	0.557117439398853	9	FOXN3,BRD8,DMD,OPTN,GABRA6,CDK3///TEN1-CDK3,AMD1,SLC6A7,INSL4	9	1.0
1096	0.557117439398853	9	SRSF6,CELF1,TPM1,ARID5A,TGIF1,FCGR2A,TNF,TSC22D2,IL10RA	9	1.0
1032	0.557117439398853	9	RASGRP1,PEX12,SPINT2,IFT27,PDLIM3,NSL1,PPP1R37,FARP1,GALNT3	9	1.0
1130	0.5954568150112943	10	MYCN,WDR77,MLF2,AKAP17A,IRF5,FAAH,TAF11,CLTCL1,HMGN3,COL11A2	10	1.0
847	0.5954568150112943	10	KCNE1,EVI2A,HOXD9,ADAM3A,ETV1,IGK///IGKC,EIF2AK1,WSCD2,FAM182B///FAM27B///FAM27C,HOXA11	10	1.0
941	0.5954568150112943	10	MLF1,SLC1A1,CTSV,PBXIP1,FEN1,LOC101060181///ZNF44,CIC,MAP4,MAP1B,SLC1A4	10	1.0
699	0.5954568150112943	10	LOC100507472///PCSK6,RBBP4,LYRM9,EDEM1,FAM50A,ENTPD4,MED13L,PIK3CD,OGG1,IRS4	10	1.0
1028	0.5954568150112943	11	KDM5C,TBR1,ATP11A,RNASE2,CABIN1,PIP,LOC102724788///PRODH,FRY,IFI6,SIGMAR1	10	1.0
1024	0.5954568150112943	10	LOC157562,RPL38,BAX,GRM4,FAM89B,ADCY3,ITGA2,CHKB-CPT1B///CPT1B,KCNJ5,PKIG	10	1.0
907	0.6035353840524423	23	WNT5A,CYTH2,DLEU1,TEAD1,ISG20L2,PEX1,SLC29A2,ZNF507,ZNF10,RRN3P1,FEZ1,PSG9,GNAO1,LONRF1,CRYBB3,C19orf57,ARHGAP25,CDK18,KMT2D,HCRT,SLC25A14,HOPX,RFC3	23	1.0
1249	0.6224116203788395	52	DHRS3,SCAMP5,ANKRD17,MIPEP,IKZF1,TRAPPC12,QDPR,LRRC42,SAC3D1,P2RX6,H1FX,ITGA10,HOXA10-HOXA9///HOXA9///MIR196B,LINC00302,HSF1,RBMS1,TLN2,SREBF1,ANKRD46,MIR4745///PTBP1,RBMS3,CDK3///TEN1-CDK3,SCN2B,SLC25A11,TFF1,PCYT2,GRINA,SNAPC3,CNTN5,UNC119,HSPA9,AR,LY86,CLDND1,GPI,MYH15,FBXO28,PSKH1,EFNB3,NFKB2,PCK1,CDK16,DNAJB9,KIF17,CLCNKA,TXN2,KLK3,MED1,FASLG	49	1.0
